,PL21 - Małopolskie,PL22 - Śląskie,PL41 - Wielkopolskie,PL42 - Zachodniopomorskie,PL43 - Lubuskie,PL51 - Dolnośląskie,PL52 - Opolskie,PL61 - Kujawsko-Pomorskie,PL62 - Warmińsko-Mazurskie,PL63 - Pomorskie,PL71 - Łódzkie,PL72 - Świętokrzyskie,PL81 - Lubelskie,PL82 - Podkarpackie,PL84 - Podlaskie,PL9 - Mazowieckie,CZ010 - Prague,CZ020 - Central Bohemian,CZ031 - South Bohemian,CZ032 - Plzeň,CZ041 - Karlovy Vary,CZ042 - Ústí nad Labem,CZ051 - Liberec,CZ052 - Hradec Králové,CZ053 - Pardubice,CZ063 - Vysočina,CZ064 - South Moravian,CZ071 - Olomouc,CZ072 - Zlín,CZ080 - Moravian-Silesian,SE110 - Stockholm,SE121 - Uppsala,SE122 - Södermanland,SE123 - Östergötland,SE124 - Örebro,SE125 - Västmanland,SE211 - Jönköping,SE212 - Kronoberg,SE213 - Kalmar,SE214 - Gotland,SE221 - Blekinge,SE224 - Skåne,SE231 - Halland,SE232 - Västra Götaland,SE311 - Värmland,SE312 - Dalarna,SE313 - Gävleborg,SE321 - Västernorrland,SE322 - Jämtland,SE331 - Västerbotten,SE332 - Norrbotten
SE312 - Dalarna,0.15570175438596492,0.201446361677201,0.13882532418001525,0.16352201257861634,0.17647058823529413,0.37899740708729474,0.1568627450980392,1.2808823529411764,0.1907514450867052,0.2119314436387607,0.15441176470588236,0.2427132391418106,0.17391304347826086,0.9058823529411765,0.40588235294117647,0.14485003487561032,0.11538461538461539,0.14884627884302892,0.17647058823529413,0.1645672490857375,1.9518072289156627,0.3521739130434782,0.21717171717171715,0.3521739130434782,0.9696969696969697,0.2479674796747967,0.1431372549019608,0.15217391304347824,0.9696969696969697,0.15237420269312546,0.10130849589595994,0.11538461538461539,0.10396716826265391,0.11040452216922807,0.09802018633540373,0.10487483530961794,0.11538461538461539,0.1943820224719101,0.125,0.5047619047619047,0.17647058823529413,0.0959040959040959,0.14465408805031446,0.06892827647544628,0.17647058823529413,0.0,0.1325907294286741,0.16666666666666666,1.0,0.17647058823529413,0.09487179487179487
SE313 - Gävleborg,0.21826883062838118,0.19883156575883365,0.1685757922871325,0.24074074074074073,0.24074074074074073,0.362970362970363,0.1354775828460039,1.3279411764705882,0.24074074074074073,0.22911547911547914,0.22103630724320378,0.26544117647058824,0.17407407407407405,0.9529411764705882,0.45294117647058824,0.16900472926297888,0.12056906692099824,0.18779956427015249,0.15867768595041323,0.21216931216931215,1.9454545454545455,0.35714285714285715,0.19571865443425074,0.35714285714285715,0.9696969696969697,0.26515151515151514,0.17724867724867724,0.2285456187895212,0.9696969696969697,0.2146537842190016,0.1829502196622656,0.10150023441162681,0.16279069767441862,0.1533281533281533,0.17466144558655572,0.23746556473829203,0.11693121693121691,0.21946414499605987,0.1881091617933723,0.5539473684210526,0.14285714285714285,0.20867768595041322,0.22187281621243884,0.1438938938938939,0.1972624798711755,0.1325907294286741,0.0,0.25279533300923673,0.9705882352941176,0.12005108556832693,0.15867768595041323
SE321 - Västernorrland,0.25156445556946183,0.23793787177792466,0.2590299277605779,0.26672038678485094,0.29411764705882354,0.3599240265906933,0.23811764705882354,1.2831632653061225,0.29411764705882354,0.2678018575851393,0.2635832959137854,0.2651321398124467,0.29411764705882354,0.9081632653061225,0.40816326530612246,0.17826398852223818,0.22369511184755592,0.2496732026143791,0.16666666666666666,0.2847718526663002,1.9481481481481482,0.35074626865671643,0.2171945701357466,0.35074626865671643,0.961038961038961,0.29411764705882354,0.16591251885369535,0.2647058823529412,0.961038961038961,0.2381735911147676,0.1587615283267457,0.17411764705882354,0.16666666666666666,0.14486391571553997,0.2182247899159664,0.16666666666666666,0.20915032679738563,0.20094562647754136,0.1869747899159664,0.509090909090909,0.29411764705882354,0.1515151515151515,0.20335429769392033,0.1599099099099099,0.178743961352657,0.16666666666666666,0.25279533300923673,0.0,0.962962962962963,0.20483193277310924,0.16666666666666666
SE322 - Jämtland,0.9863445378151261,0.9715846994535519,0.9899749373433584,0.9466666666666667,0.9791666666666666,0.9893048128342246,0.9914529914529915,1.2965686274509804,0.9841269841269842,0.9915074309978769,0.9915730337078652,0.9743589743589743,0.992,0.9844961240310077,0.9444444444444444,0.9897304236200257,0.9895833333333334,0.9922779922779923,1.0,0.9775280898876404,1.9680851063829787,1.0,1.0,0.9848484848484849,1.0,0.98,0.9891304347826086,0.9841269841269842,1.0,0.9948979591836735,0.9915014164305949,0.984375,1.0,1.0,1.0,1.0,1.0,0.9565217391304348,1.0,1.0,0.9545454545454546,0.9899665551839465,1.0,0.9874055415617129,1.0,1.0,0.9705882352941176,0.962962962962963,0.0,1.0,1.0
SE331 - Västerbotten,0.15570175438596492,0.20552799433026223,0.1263076923076923,0.16666666666666666,0.1796116504854369,0.38461538461538464,0.0881057268722467,1.3173076923076923,0.1907514450867052,0.24015444015444018,0.11222444889779559,0.2548076923076923,0.08928571428571429,0.9423076923076923,0.4423076923076923,0.16517857142857142,0.08163265306122448,0.08571428571428572,0.11071428571428572,0.1923076923076923,1.9428571428571428,0.4714285714285714,0.28248587570621464,0.4714285714285714,0.9142857142857143,0.27619047619047615,0.08163265306122448,0.2714285714285714,0.9142857142857143,0.11746031746031746,0.18782479584261322,0.11504559270516719,0.16279069767441862,0.1669172932330827,0.08333333333333333,0.1895021645021645,0.14285714285714285,0.2,0.1464285714285714,0.5183673469387755,0.1111111111111111,0.1607142857142857,0.20930232558139536,0.11666666666666667,0.15,0.17647058823529413,0.12005108556832693,0.20483193277310924,1.0,0.0,0.1282051282051282
SE332 - Norrbotten,0.1574468085106383,0.2035399227596857,0.184,0.1726027397260274,0.2,0.35734265734265735,0.14400000000000002,1.375,0.2,0.1736842105263158,0.16946564885496185,0.3125,0.2,1.0,0.5,0.121852393315353,0.13636363636363635,0.15555555555555556,0.1388888888888889,0.25,1.8928571428571428,0.3611111111111111,0.18699186991869918,0.3611111111111111,0.9318181818181819,0.2,0.13636363636363635,0.17058823529411765,0.9318181818181819,0.14405594405594407,0.12511013215859032,0.1282051282051282,0.16279069767441862,0.1282051282051282,0.1282051282051282,0.09963369963369963,0.1282051282051282,0.19413489736070383,0.2,0.4636363636363636,0.2,0.12111292962356791,0.14779874213836477,0.11034798534798534,0.12318840579710144,0.09487179487179487,0.15867768595041323,0.16666666666666666,1.0,0.1282051282051282,0.0
